firstName,lastName,email,gender,country,age
Barış,Kaplan,bkaplan18@ku.edu.tr,Male,Uzbekistan,39
Mike,Teeve,mteeve@yale.edu,Male,USA,29
Jane,Joden,jjoden@harvard.edu,Female,USA,49
Joe,Joden,bkaplan18@ku.edu.tr,Male,Uzbekistan,39
Mike,Michelson,mteeve@yale.edu,Male,USA,22
Jane,Joden,jjoden@harvard.edu,Female,USA,44
Barış,Kaplan,bkaplan18@ku.edu.tr,Male,Uzbekistan,39
Vladimir,Kurschacov,mteeve@yale.edu,Male,Russia,29
Jane,Joden,jjoden@harvard.edu,Female,USA,55
Amir,Harimi,bkaplan18@ku.edu.tr,Male,Egypt,39
Mike,Beeve,mteeve@yale.edu,Male,United Kingdom,29
Michael,Jackson,jjoden@harvard.edu,Female,USA,49
Jolen,Jay,bkaplan18@ku.edu.tr,Male,Croatia,39
Mike,Teeve,mteeve@yale.edu,Male,Hungary,57
Jane,Joden,jjoden@harvard.edu,Female,Finland,49
Michy,Batsuayi,mbatshuayi@fb.org,Male,Congo,25
Mike,Michelson,mteeve@yale.edu,Male,China,29
Jane,Joden,jjoden@harvard.edu,Female,Japan,38
Barış,Kaplan,bkaplan18@ku.edu.tr,Male,Uzbekistan,41
Vladimir,Kurschacov,mteeve@yale.edu,Male,Egypt,19
Jane,Joden,jjoden@harvard.edu,Female,Japan,10
Karim,Harimi,bkaplan18@ku.edu.tr,Male,Singapore,88
Mike,Beeve,mteeve@yale.edu,Male,United Arab Emirates,71
Michael,Jackson,jjoden@harvard.edu,Female,Argentina,63
Khamir,Joden,jjoden@harvard.edu,Female,Japan,38
Jone,Kaplan,bkaplan18@ku.edu.tr,Male,Uzbekistan,41
Hakimi,Kurschacov,mteeve@yale.edu,Male,Estonia,19
Jane,Joden,jjoden@harvard.edu,Female,Japan,10
Al-Muvaffak,Kharimi,bkaplan18@ku.edu.tr,Male,Saudi Arabia,88
Mike,Beeve,mteeve@yale.edu,Male,United Arab Emirates,71
Michael,Jackson,jjoden@harvard.edu,Female,Argentina,63

